epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6734,1.00296,5.48424,0.01598,0.6011,0.22088,0.2514,0.18191,0.95199,3.49349,0.02068,0.000330579,0.000330579,0.000330579
2,47.5098,0.95586,3.90582,0.0151,0.35226,0.47599,0.41012,0.30068,0.90942,1.74953,0.0185,0.000657339,0.000657339,0.000657339
3,65.2904,0.961,2.89508,0.0151,0.48059,0.62021,0.53788,0.37249,0.99128,1.10409,0.02066,0.0009775,0.0009775,0.0009775
4,82.3618,0.93609,2.19311,0.01468,0.55241,0.66875,0.60917,0.417,1.00222,0.96333,0.0209,0.0009703,0.0009703,0.0009703
5,99.2291,0.93183,1.78588,0.01472,0.58388,0.67698,0.6649,0.4758,0.90994,0.94065,0.01885,0.0009604,0.0009604,0.0009604
6,115.966,0.90083,1.53918,0.01411,0.61006,0.67112,0.70595,0.48134,0.98423,0.94755,0.02077,0.0009505,0.0009505,0.0009505
7,133.463,0.8529,1.3798,0.01309,0.60422,0.63089,0.62527,0.47364,0.86641,0.93582,0.01779,0.0009406,0.0009406,0.0009406
8,150.336,0.84796,1.26145,0.01305,0.69918,0.71108,0.77634,0.5408,0.92945,0.75008,0.01936,0.0009307,0.0009307,0.0009307
9,167.37,0.83024,1.17706,0.01277,0.69107,0.7571,0.78735,0.55877,0.86988,0.74781,0.01778,0.0009208,0.0009208,0.0009208
10,184.529,0.84447,1.1055,0.01316,0.80761,0.786,0.85989,0.60673,0.90561,0.65416,0.0186,0.0009109,0.0009109,0.0009109
11,201.482,0.80136,1.03786,0.01254,0.74874,0.6614,0.77171,0.55701,0.9183,0.8739,0.01964,0.000901,0.000901,0.000901
